matchid,inningsid,overid,deliveryid,contr
1473438.0,1.0,17,6,-0.5660375598450786
1473438.0,1.0,18,1,-0.6165233723079384
1473438.0,1.0,18,2,-0.6627547413747907
1473438.0,1.0,18,3,-0.7190711501790832
1473438.0,1.0,18,4,-1.7693684403601326
1473438.0,1.0,18,5,-4.481016153732774
1473438.0,1.0,18,6,-0.20188682374765698
1473438.0,1.0,19,1,-1.4406040959207351
1473438.0,1.0,19,2,-1.6073760433589313
1473438.0,1.0,19,3,-1.7474922625312
1473438.0,1.0,19,4,2.1280153081885675
1473438.0,1.0,19,5,-2.4933058060696194
1473438.0,1.0,19,6,-0.4643404528804851
1473438.0,2.0,0,1,3.2757615196132583
1473438.0,2.0,0,3,-0.8776798367803276
1473438.0,2.0,0,4,-0.9653931505197131
1473438.0,2.0,0,5,0.031861819053535134
1473438.0,2.0,0,6,3.3513871649327776
1473438.0,2.0,0,7,1.0996014081087429
1473438.0,2.0,1,1,-1.1009643011387704
1473438.0,2.0,1,2,-1.1448485054107602
1473438.0,2.0,1,3,2.8153180507518023
1473438.0,2.0,1,4,-1.1974654985324487
1473438.0,2.0,1,5,-1.2107427459474247
1473438.0,2.0,1,6,-1.2245514969085713
1473438.0,2.0,2,1,2.7610690323663682
1473438.0,2.0,2,2,4.746067616189311
1473438.0,2.0,2,3,-0.20288540402996724
1473438.0,2.0,2,4,2.9251475286843807
1473438.0,2.0,2,5,-0.22474249357990694
1473438.0,2.0,2,6,2.745147212241694
1473438.0,2.0,3,1,-0.3093506358936333
1473438.0,2.0,3,2,0.6507653083866562
1473438.0,2.0,3,3,2.6344495079663837
1473438.0,2.0,3,4,4.618110253726275
1473438.0,2.0,3,5,2.6017711544583513
1473438.0,2.0,3,6,2.641415904499855
1473438.0,2.0,4,1,4.608763494205693
1473438.0,2.0,4,2,4.552350592676721
1473438.0,2.0,4,3,-1.4636119976644404
1473438.0,2.0,4,4,-0.5317968018837969
1473438.0,2.0,4,5,-1.4942668365928393
1473438.0,2.0,4,6,2.541668957994222
1473438.0,2.0,5,1,-1.5250582184620323
1473438.0,2.0,5,2,-0.5902577085486593
