matchid,inningsid,overid,deliveryid,contr
1473439.0,1.0,2,4,0.991779049367256
1473439.0,1.0,2,5,-0.02442136189996469
1473439.0,1.0,2,6,4.960876757242762
1473439.0,1.0,3,1,-10.11223039340221
1473439.0,1.0,3,2,-0.5195929454699348
1473439.0,1.0,3,3,3.306984429599357
1473439.0,1.0,3,4,3.2046629921630263
1473439.0,1.0,3,5,1.1295284281276172
1473439.0,1.0,3,6,-0.9311772702450407
1473439.0,1.0,4,1,3.0094658717663556
1473439.0,1.0,4,2,4.99352034724193
1473439.0,1.0,4,3,-1.0231292448203073
1473439.0,1.0,4,4,2.959408830920541
1473439.0,1.0,4,6,2.9409294199658866
1473439.0,1.0,4,7,2.924953722436687
1473439.0,1.0,5,1,2.9159527284350197
1473439.0,1.0,5,2,2.863833209765989
1473439.0,1.0,5,3,-0.15427372168731446
1473439.0,1.0,5,4,-0.1723108487062286
1473439.0,1.0,5,5,-0.19023369619101183
1473439.0,1.0,5,6,0.0723537693152313
1473439.0,1.0,5,7,2.793132382370704
1473439.0,1.0,6,1,2.89930456034428
1473439.0,1.0,6,2,-1.1090678386331485
1473439.0,1.0,6,3,-0.11757650718511692
1473439.0,1.0,6,4,0.8737800448652029
1473439.0,1.0,6,5,-0.13499669651009705
1473439.0,1.0,6,6,2.856026346428184
1473439.0,1.0,7,1,-0.31942242414107747
1473439.0,1.0,7,2,-0.32859755531306356
1473439.0,1.0,7,3,2.6621131124831585
1473439.0,1.0,7,4,-0.3472923171868525
1473439.0,1.0,7,5,-0.3568159269030071
1473439.0,1.0,7,6,-0.36638756456859434
1473439.0,1.0,8,1,-1.2094073576361917
1473439.0,1.0,8,2,0.7807282763340628
1473439.0,1.0,8,3,-0.22927333966481123
1473439.0,1.0,8,4,-0.23941776455376051
1473439.0,1.0,8,5,2.7502831206805958
1473439.0,1.0,8,6,-1.2608090998418044
1473439.0,1.0,9,2,-0.38263206201230227
1473439.0,1.0,9,4,2.606158876646351
1473439.0,1.0,9,5,-6.701088028026543
1473439.0,1.0,9,6,-0.8428590143491557
1473439.0,1.0,9,7,2.9763277984736085
1473439.0,1.0,9,8,-0.12928330666013843
1473439.0,1.0,10,1,0.02977329318942501
1473439.0,1.0,10,2,-0.11117399704157216
1473439.0,1.0,10,3,2.9550576391736634
1473439.0,1.0,10,4,-0.09989160499490546
1473439.0,1.0,10,5,-0.1498953195578958
1473439.0,1.0,10,6,2.8370680868068696
1473439.0,1.0,11,1,-0.41415887765141357
1473439.0,1.0,11,2,0.5724487653573964
1473439.0,1.0,11,3,-0.44110128681395744
1473439.0,1.0,11,4,0.5451944163648255
1473439.0,1.0,11,7,-1.468661892634483
1473439.0,1.0,11,8,-0.4828016462900673
1473439.0,1.0,12,1,4.740082956245619
1473439.0,1.0,12,2,4.725691684851345
1473439.0,1.0,12,3,-0.2888154098357456
1473439.0,1.0,12,4,-0.30343062981294744
1473439.0,1.0,12,6,4.681849984123762
1473439.0,1.0,12,7,-0.3333070227863397
1473439.0,1.0,13,1,4.63697391183668
1473439.0,1.0,13,2,-0.37826722703593085
1473439.0,1.0,13,3,-1.3935152725678075
1473439.0,1.0,13,4,4.591249911400499
1473439.0,1.0,13,5,-0.4239343108917064
1473439.0,1.0,13,6,2.5620546224312513
1473439.0,1.0,14,2,2.57904266966462
1473439.0,1.0,14,4,-4.436960489961361
1473439.0,1.0,14,5,0.1448225379257797
1473439.0,1.0,14,6,-1.3664446895390052
1473439.0,1.0,14,7,2.6168036152367087
1473439.0,1.0,14,8,-0.4051900895675937
1473439.0,1.0,15,1,2.32676966152869
1473439.0,1.0,15,3,-1.6915853663011726
1473439.0,1.0,15,4,-0.701239929623892
1473439.0,1.0,15,5,2.590811684431845
1473439.0,1.0,15,6,-0.5325241936384837
1473439.0,1.0,15,7,-1.7583946163909199
1473439.0,1.0,16,1,-0.49753293319775005
1473439.0,1.0,16,2,-0.6616808381418731
1473439.0,1.0,16,3,0.4115376091055969
1473439.0,1.0,16,4,-1.6535414586207617
1473439.0,1.0,16,5,4.2865963237297215
1473439.0,1.0,16,6,2.2684418127609085
1473439.0,1.0,17,1,0.07235376931523163
1473439.0,1.0,17,2,-0.6519178182871992
1473439.0,1.0,17,3,2.3302230529889947
1473439.0,1.0,17,4,2.3124760296006777
1473439.0,1.0,17,5,2.2948248181095927
1473439.0,1.0,17,6,-0.7227461671216668
1473439.0,1.0,17,7,2.2606414627673495
1473439.0,1.0,18,1,0.1493760886818689
1473439.0,1.0,18,2,-3.356061508397339
1473439.0,1.0,18,3,-0.2988498932778543
1473439.0,1.0,18,4,4.167058075852413
1473439.0,1.0,18,5,4.154782360898153
1473439.0,1.0,18,6,0.01261958493652826
1473439.0,1.0,19,1,4.189495792875427
1473439.0,1.0,19,2,-2.6980947653392136
1473439.0,1.0,19,3,-2.0980557905730572
1473439.0,1.0,19,4,-1.3483940499184988
1473439.0,1.0,19,5,-0.02774203608764858
1473439.0,1.0,19,6,1.657343723892551
1473439.0,2.0,0,1,-0.44511991736744627
1473439.0,2.0,0,3,0.41534761950400756
1473439.0,2.0,0,4,-0.46380229543255447
1473439.0,2.0,0,5,5.39014971405955
1473439.0,2.0,0,6,3.306864117201531
1473439.0,2.0,0,7,3.250529898170573
1473439.0,2.0,1,1,-0.9194463155200874
1473439.0,2.0,1,2,-0.9826176002878633
1473439.0,2.0,1,3,-11.392716047449465
1473439.0,2.0,1,4,3.345111502168624
1473439.0,2.0,1,5,-10.65052011240429
1473439.0,2.0,1,6,0.3814375077037544
1473439.0,2.0,2,1,-0.5674419640512662
1473439.0,2.0,2,2,3.3529856276859
1473439.0,2.0,2,3,-0.7038666841863341
1473439.0,2.0,2,4,3.2505694160114906
1473439.0,2.0,2,5,1.2115662546442711
1473439.0,2.0,2,6,-0.8193823893433427
1473439.0,2.0,3,1,-0.9757252069179112
1473439.0,2.0,3,2,-1.0148428835184513
1473439.0,2.0,3,3,2.9504275323769384
1473439.0,2.0,3,4,-1.0547228125189572
1473439.0,2.0,3,6,4.94046275080105
1473439.0,2.0,3,7,2.935076655200323
1473439.0,2.0,4,1,-10.41107155649031
1473439.0,2.0,4,2,-0.41993898341781866
1473439.0,2.0,4,3,1.435231728784675
1473439.0,2.0,4,4,0.3304151894742977
1473439.0,2.0,4,5,-0.822423715180616
1473439.0,2.0,4,6,3.1883390916309686
1473439.0,2.0,5,1,5.077605893637628
1473439.0,2.0,5,2,3.0257770879439683
1473439.0,2.0,5,3,2.9825671350112835
1473439.0,2.0,5,4,-0.05501155654853229
1473439.0,2.0,5,5,-0.05848762656932771
1473439.0,2.0,5,6,2.939737354845338
1473439.0,2.0,6,1,-1.1478024840464622
1473439.0,2.0,6,2,-1.1498417209685068
1473439.0,2.0,6,3,-0.15188504806252134
1473439.0,2.0,6,4,2.846062807208046
1473439.0,2.0,6,5,-1.1560154281459172
1473439.0,2.0,6,6,-1.1594670004782552
1473439.0,2.0,7,1,1.1342628632451441
1473439.0,2.0,7,2,5.131120816454615
1473439.0,2.0,7,3,-0.871721037401809
1473439.0,2.0,7,4,0.12188428599485568
1473439.0,2.0,7,5,0.11519406457862025
1473439.0,2.0,7,6,3.11076822967647
1473439.0,2.0,8,1,4.8070188896624195
1473439.0,2.0,8,2,-1.2010975739727991
1473439.0,2.0,8,3,-0.20952775159943493
